2024-01-19 09:48:59.017728 - idCapteur: 183, x: 1.407, y: 4.078, z: 2.65, orientation: None, color: FFFFFF
2024-01-19 09:48:59.085732 - idCapteur: dwm1001-57, x: 1.407, y: 4.078, z: 2.65, orientation: None, color: FFFFFF
2024-01-19 09:49:31.142566 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.143566 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.144566 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.144566 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.145565 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.147567 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.148571 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.149569 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.149569 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.150569 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.151568 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.152566 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.152566 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.153571 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.154566 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.155567 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.157569 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.158573 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.159572 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.160585 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.161570 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.162140 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.162566 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.163569 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.164568 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.164568 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.165570 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.166568 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.167568 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.167568 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.168569 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.169569 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.169569 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.170569 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.172567 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.173569 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.174568 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.175571 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.176566 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.176566 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.177571 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.178565 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.179567 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.180567 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.181585 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.181585 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.182570 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.183573 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.184566 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.185569 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.186570 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.187567 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.188568 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.189570 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.190568 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.191569 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.193568 - idCapteur: node, x: None, y: None, z: None, orientation: None, color: None
